date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,14.6,13.1,19.2,0,,,3.7,,1018.2,
2024-01-02 00:00:00,14.6,12.3,17.1,0,,,3.4,,1017,
2024-01-03 00:00:00,15.5,13.4,18.3,0,,,10.3,,1015.8,
2024-01-04 00:00:00,16.2,13.1,18.8,0,,,8.9,,1012.9,
2024-01-05 00:00:00,15.3,11.5,21.1,0,,,4,,1017.4,
2024-01-06 00:00:00,16.2,13.8,19.8,0,,,10.3,,1013.9,
2024-01-07 00:00:00,15.1,11.6,17.4,7.7,,,15.3,,1003.8,
2024-01-08 00:00:00,14.5,11.3,18,0,,,10,,1008.8,
2024-01-09 00:00:00,10.7,6.9,14.6,1.3,,,10.5,,1011.2,
2024-01-10 00:00:00,7.6,6.5,9.4,0,,,12.9,,1023.6,
2024-01-11 00:00:00,7.6,4.6,11.8,0,,,5.1,,1022.5,
2024-01-12 00:00:00,8.6,6.8,10.5,6.9,,,8.6,,1014.6,
2024-01-13 00:00:00,7.1,5.1,9.6,0,,,8.4,,1018.1,
2024-01-14 00:00:00,9.2,3.9,14.6,0.2,,,4.5,,1016.9,
2024-01-15 00:00:00,12.2,8.3,16.1,0,,,8,,1012,
2024-01-16 00:00:00,14.4,11.3,19.6,4.1,,,5.9,,1009.4,
2024-01-17 00:00:00,14.2,10.7,19.3,0,,,3.7,,1016.9,
2024-01-18 00:00:00,16.1,12.9,20.4,0,,,6.9,,1014.2,
2024-01-19 00:00:00,15.8,12.8,20.8,0,,,4,,1011.8,
2024-01-20 00:00:00,15.1,12.8,17.5,0,,,4.8,,1013.4,
2024-01-21 00:00:00,9.7,8.1,11.1,0,,,20.8,,1021.2,
2024-01-22 00:00:00,8,6.6,9.1,0,,,18.1,,1028.4,
2024-01-23 00:00:00,8.5,4.8,12.9,0,,,7.2,,1024.5,
2024-01-24 00:00:00,8.9,5.6,12.9,0,,,8.2,,1024.8,
2024-01-25 00:00:00,10.8,5.3,16.7,0,,,4,,1021.2,
2024-01-26 00:00:00,12,8.3,16,0,,,7.4,,1021.1,
2024-01-27 00:00:00,11,6.7,16.5,0,,,4,,1023.1,
2024-01-28 00:00:00,9.2,6.9,11.1,0.6,,,11.5,,1027.1,
2024-01-29 00:00:00,6.3,4.7,9.7,0.5,,,11.1,,1031.4,
2024-01-30 00:00:00,5.4,4.1,7.8,3,,,14.8,,1029.8,
2024-01-31 00:00:00,7.4,5.1,9.5,6.9,,,15.5,,1028.5,
2024-02-01 00:00:00,8.6,4.6,13.4,0,,,6.2,,1026.3,
2024-02-02 00:00:00,10.1,5.4,17.1,0,,,4.9,,1022.3,
2024-02-03 00:00:00,10.7,8.2,15.2,0,,,5.5,,1024.3,
2024-02-04 00:00:00,12,7.9,17.3,0,,,4.7,,1022.5,
2024-02-05 00:00:00,14.5,9.3,20.4,0,,,4.8,,1022.3,
2024-02-06 00:00:00,14.9,11,20.3,0,,,3.6,,1021.9,
2024-02-07 00:00:00,14.5,12.1,18.7,0,,,6.6,,1017,
2024-02-08 00:00:00,15.1,11.5,20.5,0,,,5.2,,1013.4,
2024-02-09 00:00:00,14.6,10.9,20.2,0,,,5.8,,1013.7,
2024-02-10 00:00:00,15.1,11.6,19.4,0,,,6.5,,1014.7,
2024-02-11 00:00:00,16.3,15,17.9,0.8,,,13.9,,1012.4,
2024-02-12 00:00:00,15.6,13,18.5,0.3,,,10.8,,1007.3,
2024-02-13 00:00:00,13.2,11.2,17,0,,,6.5,,1008.6,
